guid,postcode
"E20 1AB, dd3c8e0d34ac3fd9dadc294e96ccd1cfa00e599a","E20 1AB"
"E20 1AB, dea9c5dd93a7c61fa0bcebb9ea9f2814846203d1","E20 1AB"
"E20 1AB, 45c7a465a6da7fc33b9d4577cacafa53e849dda6","E20 1AB"
"E20 1AB, 8b7de6d263024ec9713f5279e13aadee8d07f7c8","E20 1AB"
"E20 1AB, 77ef51b9253e7978202b37dc46113366bcddaa14","E20 1AB"
"E20 1AE, abceb3e60dc1a7d71b9756bf1ddb58de20cd5002","E20 1AE"
"E20 1AQ, 629977c04815335cfbd3a4d8c765a3821d898bb9","E20 1AQ"
"E20 1AQ, 3e0addb50c38f1235467fe3aa7e280aedbbb8a76","E20 1AQ"
"E20 1AR, 8bf03ee79d93029c40eccf64933be52fa1de4404","E20 1AR"
"E20 1AR, cb1d8329b014bf790e8bf4045538ae3bf61b872e","E20 1AR"
"E20 1AR, 41826ae30dcb36f29afc1631997ea65e89dd117c","E20 1AR"
"E20 1AR, e24245376af9dd07e450eabad4bc5553d28e172c","E20 1AR"
"E20 1AR, 7da5812b6a3d71f087aaad8a78b5d8168006d480","E20 1AR"
"E20 1AS, c95c02b0c203b86225f8e2aade9e3a3fe6746faf","E20 1AS"
"E20 1AX, 9bb9f6deaec9c2d6b7993cc42772c5aa9be10507","E20 1AX"
"E20 1AX, 5c8e4370d6255f3a632bf217a1575fefe5af440d","E20 1AX"
"E20 1AX, 572088d9044a5a0149cd4d5288d1631c160ee1a8","E20 1AX"
"E20 1AX, 4ff51d438510aac367aa732ee17032a00df4312c","E20 1AX"
"E20 1AZ, 9e2ce862b214a884497517667182c9e2f38f5738","E20 1AZ"
"E20 1AZ, 74c1de89ce8791a3ffb51c9992f79c524c91ccb4","E20 1AZ"
"E20 1AZ, 2d8c82070757040d9f040d77faa1c0a5bdde389d","E20 1AZ"
"E20 1AZ, 299eab5dd555eff8724857791b07a03cab0b8c26","E20 1AZ"
"E20 1AZ, 25a271b0d70ff5759fe478bcb18f493a903b3299","E20 1AZ"
"E20 1BB, db6401138e437039530724c72e6bb13949755b38","E20 1BB"
