guid,price,date
"E20 1AB, dd3c8e0d34ac3fd9dadc294e96ccd1cfa00e599a",375000,2019-04-25
"E20 1AB, dea9c5dd93a7c61fa0bcebb9ea9f2814846203d1",545000,2019-04-26
"E20 1AB, 45c7a465a6da7fc33b9d4577cacafa53e849dda6",341250,2019-03-25
"E20 1AB, 8b7de6d263024ec9713f5279e13aadee8d07f7c8",357500,2022-09-16
"E20 1AB, 77ef51b9253e7978202b37dc46113366bcddaa14",525000,2022-06-06
"E20 1AE, abceb3e60dc1a7d71b9756bf1ddb58de20cd5002",38000000,2017-11-10
"E20 1AQ, 629977c04815335cfbd3a4d8c765a3821d898bb9",326600,2017-11-28
"E20 1AQ, 3e0addb50c38f1235467fe3aa7e280aedbbb8a76",246000,2018-05-09
"E20 1AR, 8bf03ee79d93029c40eccf64933be52fa1de4404",285285,2017-09-01
"E20 1AR, cb1d8329b014bf790e8bf4045538ae3bf61b872e",322240,2017-07-28
"E20 1AR, 41826ae30dcb36f29afc1631997ea65e89dd117c",295260,2018-01-19
"E20 1AR, e24245376af9dd07e450eabad4bc5553d28e172c",246000,2018-07-06
"E20 1AR, 7da5812b6a3d71f087aaad8a78b5d8168006d480",331160,2018-05-09
"E20 1AS, c95c02b0c203b86225f8e2aade9e3a3fe6746faf",108175,2016-12-19
"E20 1AX, 9bb9f6deaec9c2d6b7993cc42772c5aa9be10507",149100,2017-12-20
"E20 1AX, 5c8e4370d6255f3a632bf217a1575fefe5af440d",200000,2019-09-13
"E20 1AX, 572088d9044a5a0149cd4d5288d1631c160ee1a8",375000,2021-03-12
"E20 1AX, 4ff51d438510aac367aa732ee17032a00df4312c",420000,2023-01-30
"E20 1AZ, 9e2ce862b214a884497517667182c9e2f38f5738",264000,2017-10-09
"E20 1AZ, 74c1de89ce8791a3ffb51c9992f79c524c91ccb4",307260,2018-05-25
"E20 1AZ, 2d8c82070757040d9f040d77faa1c0a5bdde389d",284750,2018-11-22
"E20 1AZ, 299eab5dd555eff8724857791b07a03cab0b8c26",344500,2022-12-16
"E20 1AZ, 25a271b0d70ff5759fe478bcb18f493a903b3299",456000,2023-06-21
"E20 1BB, db6401138e437039530724c72e6bb13949755b38",125000,2013-12-18
"E20 1BB, 0ff0326dd48fabc0c03d1dbf29efb1a848fea2a5",410000,2016-11-11
"E20 1BB, b29b9f4a66dc5bd5cb2bdd07ffe746c75aca3a62",103687,2017-07-07
"E20 1BB, 1a15660c3bc79c772587838350bffdb53bf68dca",95000,2017-01-13
"E20 1BB, 46dc264ecf55a8f8d7ff93c2b9704015d19f7d9a",160000,2018-10-31
"E20 1BB, 364aa7ea23f383ef71e6b3127d35ffd2619e9937",550000,2018-05-02
"E20 1BB, af2da20c0c33fd6e3f4038ceb5b438c6065ef2b8",157500,2018-07-27
"E20 1BB, 8c6b660beb138c35249e6537303b8851198b8cc2",366000,2018-01-31
"E20 1BB, f4d1278e1489ef09213f41799663595b21508222",540000,2018-02-02
"E20 1BB, 623c9ae0da29dd5ed29b8dc4a5a37de7f79f81fb",540000,2019-04-25
"E20 1BB, 623c9ae0da29dd5ed29b8dc4a5a37de7f79f81fb",506250,2021-06-28
"E20 1BB, 655168f2fa408a0f4ae00de0403ff47dae6749e7",560000,2021-06-03
"E20 1BB, f14704d4a967d3db8cbd369bbf167bf79b497c91",630000,2021-06-28
"E20 1BN, 625f9fb0a6fe62de7ad7321f4eb25d6273e76561",120000,2019-12-20
"E20 1BP, 1280f3332cb55ad4b421942724df85d60d2f5e50",160000,2019-03-21
"E20 1BR, 089ccca1ff44d31dee860fa5ebc798bb5b3b4f4c",144000,2016-07-21
"E20 1BR, a0b16d8010ea9aa57b7b51cdd62d9ca6f8c113e6",218000,2018-10-26
"E20 1BR, fe17b7cb948cbcbca669ecb2aee7cd8503b6f54c",575000,2018-04-05
"E20 1BR, d40b615bf98621373ae894533776edb28259ffad",162500,2018-03-16
"E20 1BR, 04f7bd6215c602cfefacce1f31e53173357de86a",254000,2019-07-12
"E20 1BR, 7a910da687f078ae3fddd119cda098f8fad151bd",637500,2019-01-18
"E20 1BR, 70c2b9f30ff8b360f40838fddde1fe464d7177cf",560000,2022-09-26
"E20 1BR, 3807de28ead2e5d557570900409f5688426970cd",535000,2022-03-17
"E20 1BR, 3421f32e35295151952be6ab5854cc8a3fb16508",595000,2022-05-10
"E20 1BR, 2f97c42339b27bcfde9fdfba6caddff0574a3e47",185500,2022-06-21
"E20 1BU, c0aa223797595abd9cbdb8885b2fa34b16bf946d",229400,2007-08-22
"E20 1BU, a901f6a88d40dd958a9ffc1c8e8c9c0610e49595",332215,2018-04-26
"E20 1BU, e3a0da6d3db7359112268291ffb271b252c08554",381825,2018-02-27
"E20 1BU, f9faa7e4ce507f51e61b9761cfb252aa3964ccd4",241950,2018-03-09
"E20 1BU, d15fa07d533828b005ee638e42fa70ea8ef3b4f4",327000,2019-06-28
"E20 1BU, 5455ba824f5725379bd5f6c461a32cc67ba8d416",415000,2019-09-13
"E20 1DB, f9d9ef3bd98b7a57fdc3de38693219ab328ee270",276570000,2019-06-11
"E20 1DB, f9d9ef3bd98b7a57fdc3de38693219ab328ee270",2456113,2019-06-11
"E20 1DB, 7b3ad2fa852c24fde6730cf535439c8a012def4b",1573000,2021-08-18
"E20 1DP, 7abc46eb45a1fb1f1f794fa622c1b3cef808947d",214000,2017-07-28
"E20 1DQ, a74056ee0eebf0db968b9233821ea9f53ee3968b",357000,2018-11-09
"E20 1DQ, c57888b495ac70313412667ff201099ec7307da1",530000,2018-04-23
"E20 1DQ, 6806966489426b350e837e717a30a5b9d8b965ba",390000,2018-12-17
"E20 1DS, cf7ac092d6b47ef658b911394e450a7b7d60aafb",255780,2017-09-08
"E20 1DS, bfd52b439172009002a8e699d71117e62e974ddb",555000,2023-03-24
"E20 1DT, 95aee316bfb24df366647d25d53a1f80b0383f12",158750,2018-06-27
"E20 1DT, c7e510207e9feb12f6983624cccb3cd4bf1578c1",638000,2021-09-30
"E20 1DT, bc45cdb91d89eb057426043ec1f3475076228210",620000,2022-02-04
"E20 1DT, 550648ebccb22d7e5f2307ebc88c6d0a8ebcc76a",250000,2022-12-15
"E20 1DT, 21c3306889320da1b074fbbfbf8a154ba0a6306b",603000,2022-05-06
"E20 1DT, c0e782e4d7ed5c5a653dab11f664bbc181741337",680000,2023-07-14
"E20 1DX, 790f81e61b989c7de8945de5cec8c77271fc3dbf",635000,2021-06-28
"E20 1DX, ce607f603e7a4b17813bfd72d81f4e04b03fef0b",630000,2021-06-29
"E20 1DZ, 4e940647a3b205ae531dd6451e10690c19495d17",102500,2018-08-30
"E20 1DZ, 66657fbfb78f54794c78a01ea7b52c5d6f4b3f85",130626,2018-08-31
"E20 1DZ, 4403e83e1a87b5cd772b301ff9fc4b906a44af32",505000,2019-07-26
"E20 1EA, b0bb2e6726e1dbcbf92c142a731ffbe4e5a23267",540000,2017-05-26
"E20 1EA, b0bb2e6726e1dbcbf92c142a731ffbe4e5a23267",560000,2019-10-11
